Word 1,Word 2,Similarity
مريخ,مياه,0.294
ساحر,منجم,0.902
شارع,مبنى,0.688
سبب,معيار,0.591
ماء,تسرب,0.656
حفلة,مبدع,0.681
خط,تأمين,0.269
سكر,نهج,0.088
طاقة,أزمة,0.594
بيئة,الإيكولوجيا,0.881
قرن,عام,0.759
مباراة,هزيمة,0.697
طبيب,مسؤولية,0.519
وصول,فندق,0.6
شرب,أم,0.265
قائمة,قرب,0.256
اوبك,بلد,0.563
زجاج,ساحر,0.208
عجز,وفاة,0.547
سابقة,ماضى,0.604
شارع,حاره,0.888
كأس,سكين,0.685
ملك,ملكة,0.858
نمر,كائن,0.477
علاج,انتعاش,0.791
رجل,امرأة,0.83
قانون,محام,0.838
كمبيوتر,برامج,0.85
سيارة,عربه,0.894
خيار,بطاطس,0.592
معماري,قرن,0.378
دولار,ربح,0.738
صبي,شقيق,0.446
القدس,اسرائيل,0.846
سلاح,سري,0.606
سمك,بحر,0.747
أراضي,مساحة,0.534
شرطه,بصمات,0.694
عائد,دفع,0.763
مستهلك,ثقة,0.413
نمر,جاكوار,0.8
نفسي,الاكتئاب,0.742
طعام,ديك,0.442
اكتشاف,فضاء,0.634
سيكولوجي,علوم,0.671
مال,ثروة,0.827
مارادونا,كرة,0.862
ملجأ,مأوى,0.887
تغيير,سلوك,0.544
مال,بنك,0.85
الانتاج,إرتفع,0.175
سيكولوجيا,الإدراك,0.748
فيلم,فشار,0.619
جاكوار,سيارة,0.727
نفسي,قلق,0.7
وضع,عزلة,0.388
جريمة,قتل,0.853
نفسي,انضباط,0.558
إمكانية,فتاة,0.194
ذكي,غبي,0.581
مال,نقود,0.915
سابقة,معلومات,0.385
سمك,طعام,0.834
كتاب,ورقة,0.746
روك,جاز,0.759
نكاح,جنس,0.944
ميل,كيلومتر,0.866
جاكوار,قط,0.742
ظهيرة,ظهر,0.929
تنمية,قضية,0.397
أسهم,هاتف,0.162
سابقة,مجموعة,0.177
طبيعة,رجل,0.625
سبع,متتالي,0.356
فاخر,سيارة,0.647
فيلم,نجم,0.738
حياة,درس,0.594
يوم,فجر,0.753
كرة,سلة,0.681
وفاة,سجين,0.503
فرن,موقد,0.879
أراضي,كيلومتر,0.528
ساحل,شاطئ,0.91
اوبك,نفط,0.859
شاطئ,غابة,0.308
نمر,قط,0.8
تصريح,تحذير,0.6
شراب,يأكل,0.687
المونيوم,معدن,0.783
سكتة,مستشفى,0.703
نفط,اسهم,0.634
راهب,عبد,0.092
ائتمان,بطاقة,0.806
كمبيوتر,أخبار,0.447
قائمة,صنف,0.638
رجبي,كرة,0.903
كوكب,فلكي,0.794
لعبة,متتالي,0.619
الإعلام,الإذاعة,0.742
كتاب,مكتبة,0.746
ضحية,طوارئ,0.647
بيسبول,موسم,0.597
سيكولوجي,خوف,0.685
أسهم,حياة,0.092
فضاء,عالم,0.653
كأس,قهوة,0.658
بطولة,دورى,0.836
فضاء,كيمياء,0.488
مال,إيداع,0.773
ظهر,خيط,0.054
كأس,شراب,0.725
قرن,أمة,0.316
كوكب,قمر,0.808
شبكة,معدات,0.831
ياباني,أمريكي,0.65
فرصة,مصداقية,0.388
شهر,فندق,0.181
الإعلام,تجاري,0.388
خمسة,أشهر,0.338
رجل,عمدة,0.525
هاتف,معدات,0.713
تركيز,حياة,0.406
طاقة,سكرتير,0.181
نمر,مفترس,0.708
متطوع,شعار,0.256
منافسة,سعر,0.644
غابة,مقبرة,0.185
مقدس,جنس,0.162
صبي,منجم,0.092
سلام,خطة,0.475
