Embedding File,MSE,Accuracy,Hit_Percent,Correlation
tokensdigFalsetashFalsemod1size100wind4.txt,0.145,0.306,0.0,0.447
tokensdigTruetashFalsemod1size100wind4.txt,0.145,0.304,0.0,0.451
tokensdigTruetashTruemod1size100wind4.txt,0.145,0.304,0.0,0.437
tokensdigTruetashFalsemod0size100wind4.txt,0.146,0.307,0.0,0.428
tokensdigFalsetashTruemod1size100wind4.txt,0.146,0.308,0.0,0.421
lemmasdigFalsetashTruemod0size100wind4.txt,0.148,0.304,0.0,0.464
tokensdigFalsetashTruemod0size100wind4.txt,0.148,0.309,0.0,0.416
tokensdigFalsetashTruemod1size100wind7.txt,0.148,0.31,0.0,0.397
tokensdigFalsetashFalsemod1size100wind7.txt,0.148,0.312,0.0,0.397
lemmasdigFalsetashFalsemod0size100wind4.txt,0.149,0.306,0.0,0.482
tokensdigFalsetashFalsemod0size100wind4.txt,0.149,0.309,0.0,0.407
tokensdigTruetashFalsemod1size100wind7.txt,0.15,0.31,0.0,0.408
lemmasdigFalsetashTruemod1size100wind4.txt,0.15,0.309,0.0,0.441
tokensdigTruetashTruemod0size100wind4.txt,0.15,0.309,0.0,0.419
lemmasdigTruetashTruemod0size100wind4.txt,0.151,0.308,0.0,0.441
lemmasdigTruetashTruemod1size100wind4.txt,0.151,0.308,0.0,0.442
lemmasdigFalsetashFalsemod1size100wind7.txt,0.151,0.312,0.0,0.448
lemmasdigTruetashFalsemod0size100wind4.txt,0.151,0.309,0.0,0.466
lemmasdigTruetashFalsemod1size100wind4.txt,0.152,0.31,0.0,0.46
lemmasdigFalsetashTruemod1size100wind7.txt,0.153,0.31,0.0,0.423
lemmasdigTruetashTruemod1size100wind7.txt,0.153,0.314,0.0,0.415
lemmasdigFalsetashFalsemod1size100wind4.txt,0.154,0.312,0.0,0.443
tokensdigTruetashTruemod1size100wind7.txt,0.155,0.315,0.0,0.401
lemmasdigTruetashFalsemod1size100wind7.txt,0.156,0.317,0.0,0.412
tokensdigTruetashTruemod0size100wind7.txt,0.158,0.313,0.0,0.422
tokensdigTruetashFalsemod0size100wind7.txt,0.16,0.314,0.0,0.42
tokensdigFalsetashTruemod0size100wind7.txt,0.163,0.316,0.0,0.4
tokensdigFalsetashFalsemod0size100wind7.txt,0.164,0.319,0.0,0.397
lemmasdigFalsetashTruemod0size100wind7.txt,0.164,0.316,0.0,0.446
controldigFalsetashTruemod1size100wind4.txt,0.165,0.316,0.0,0.48
controldigTruetashFalsemod1size100wind4.txt,0.166,0.315,0.0,0.475
lemmasdigTruetashTruemod0size100wind7.txt,0.166,0.316,0.0,0.453
controldigTruetashTruemod1size100wind4.txt,0.167,0.317,0.0,0.474
lemmasdigTruetashFalsemod0size100wind7.txt,0.168,0.319,0.0,0.448
lemmasdigFalsetashFalsemod0size100wind7.txt,0.168,0.32,0.0,0.443
tokensdigFalsetashTruemod1size200wind4.txt,0.168,0.321,0.0,0.414
controldigFalsetashFalsemod1size100wind4.txt,0.169,0.319,0.0,0.452
controldigTruetashFalsemod1size100wind7.txt,0.169,0.321,0.0,0.443
controldigTruetashTruemod1size100wind7.txt,0.169,0.321,0.0,0.449
controldigFalsetashFalsemod1size100wind7.txt,0.169,0.321,0.0,0.432
tokensdigFalsetashFalsemod1size200wind7.txt,0.17,0.324,0.0,0.408
controldigFalsetashTruemod1size100wind7.txt,0.171,0.325,0.0,0.425
tokensdigTruetashFalsemod1size200wind7.txt,0.173,0.324,0.0,0.412
tokensdigFalsetashTruemod1size200wind7.txt,0.174,0.328,0.0,0.379
controldigTruetashTruemod0size100wind4.txt,0.174,0.322,0.0,0.445
tokensdigTruetashTruemod0size200wind4.txt,0.174,0.327,0.0,0.396
tokensdigTruetashFalsemod1size200wind4.txt,0.174,0.324,0.0,0.41
tokensdigTruetashTruemod1size200wind7.txt,0.174,0.326,0.0,0.401
tokensdigFalsetashFalsemod1size200wind4.txt,0.175,0.327,0.0,0.399
tokensdigTruetashFalsemod0size200wind4.txt,0.175,0.326,0.0,0.407
tokensdigTruetashTruemod1size200wind4.txt,0.175,0.325,0.0,0.393
controldigFalsetashTruemod0size100wind4.txt,0.176,0.322,0.0,0.457
controldigFalsetashFalsemod0size100wind4.txt,0.176,0.323,0.0,0.452
controldigTruetashFalsemod0size100wind4.txt,0.176,0.324,0.0,0.447
tokensdigFalsetashFalsemod0size200wind4.txt,0.176,0.328,0.0,0.396
lemmasdigFalsetashTruemod0size200wind4.txt,0.178,0.326,0.0,0.452
tokensdigFalsetashTruemod0size200wind4.txt,0.179,0.329,0.0,0.396
lemmasdigFalsetashTruemod1size200wind4.txt,0.179,0.328,0.0,0.425
lemmasdigTruetashTruemod1size200wind7.txt,0.179,0.331,0.0,0.406
lemmasdigTruetashTruemod0size200wind4.txt,0.18,0.329,0.0,0.441
lemmasdigFalsetashTruemod1size200wind7.txt,0.18,0.33,0.0,0.413
lemmasdigTruetashTruemod1size200wind4.txt,0.18,0.328,0.0,0.433
lemmasdigFalsetashFalsemod0size200wind4.txt,0.181,0.33,0.0,0.47
lemmasdigFalsetashFalsemod1size200wind4.txt,0.184,0.332,0.0,0.449
lemmasdigTruetashFalsemod0size200wind4.txt,0.184,0.333,0.0,0.452
controldigFalsetashTruemod0size100wind7.txt,0.184,0.329,0.0,0.448
lemmasdigTruetashFalsemod1size200wind4.txt,0.185,0.333,0.0,0.437
lemmasdigFalsetashFalsemod1size200wind7.txt,0.185,0.336,0.0,0.42
controldigTruetashTruemod0size100wind7.txt,0.185,0.33,0.0,0.424
lemmasdigTruetashFalsemod1size200wind7.txt,0.186,0.335,0.0,0.406
controldigFalsetashFalsemod0size100wind7.txt,0.186,0.332,0.0,0.427
controldigTruetashFalsemod0size100wind7.txt,0.187,0.333,0.0,0.416
tokensdigTruetashTruemod0size200wind7.txt,0.188,0.334,0.0,0.399
tokensdigFalsetashFalsemod0size200wind7.txt,0.189,0.337,0.0,0.387
tokensdigFalsetashTruemod0size200wind7.txt,0.19,0.337,0.0,0.378
controldigFalsetashFalsemod1size200wind7.txt,0.194,0.339,0.0,0.464
controldigTruetashTruemod1size200wind4.txt,0.194,0.339,0.0,0.478
controldigFalsetashFalsemod1size200wind4.txt,0.194,0.338,0.0,0.482
lemmasdigTruetashTruemod0size200wind7.txt,0.194,0.338,0.0,0.42
controldigFalsetashTruemod1size200wind7.txt,0.195,0.34,0.0,0.452
controldigTruetashFalsemod1size200wind4.txt,0.195,0.339,0.0,0.466
tokensdigTruetashFalsemod0size200wind7.txt,0.195,0.34,0.0,0.37
controldigTruetashTruemod1size200wind7.txt,0.195,0.338,0.0,0.469
controldigTruetashFalsemod1size200wind7.txt,0.197,0.339,0.0,0.456
controldigFalsetashTruemod1size200wind4.txt,0.197,0.34,0.0,0.451
lemmasdigTruetashFalsemod0size200wind7.txt,0.198,0.341,0.0,0.458
