Embedding File,MSE,Accuracy,Hit_Percent,Correlation
tokensdigTruetashFalsemod0size200wind7.txt,0.195,0.34,0.0,0.37
tokensdigFalsetashTruemod0size200wind7.txt,0.19,0.337,0.0,0.378
tokensdigFalsetashTruemod1size200wind7.txt,0.174,0.328,0.0,0.379
tokensdigFalsetashFalsemod0size200wind7.txt,0.189,0.337,0.0,0.387
tokensdigTruetashTruemod1size200wind4.txt,0.175,0.325,0.0,0.393
tokensdigFalsetashTruemod0size200wind4.txt,0.179,0.329,0.0,0.396
tokensdigTruetashTruemod0size200wind4.txt,0.174,0.327,0.0,0.396
tokensdigFalsetashFalsemod0size200wind4.txt,0.176,0.328,0.0,0.396
tokensdigFalsetashFalsemod1size100wind7.txt,0.148,0.312,0.0,0.397
tokensdigFalsetashFalsemod0size100wind7.txt,0.164,0.319,0.0,0.397
tokensdigFalsetashTruemod1size100wind7.txt,0.148,0.31,0.0,0.397
tokensdigFalsetashFalsemod1size200wind4.txt,0.175,0.327,0.0,0.399
tokensdigTruetashTruemod0size200wind7.txt,0.188,0.334,0.0,0.399
tokensdigFalsetashTruemod0size100wind7.txt,0.163,0.316,0.0,0.4
tokensdigTruetashTruemod1size100wind7.txt,0.155,0.315,0.0,0.401
tokensdigTruetashTruemod1size200wind7.txt,0.174,0.326,0.0,0.401
lemmasdigTruetashTruemod1size200wind7.txt,0.179,0.331,0.0,0.406
lemmasdigTruetashFalsemod1size200wind7.txt,0.186,0.335,0.0,0.406
tokensdigTruetashFalsemod0size200wind4.txt,0.175,0.326,0.0,0.407
tokensdigFalsetashFalsemod0size100wind4.txt,0.149,0.309,0.0,0.407
tokensdigFalsetashFalsemod1size200wind7.txt,0.17,0.324,0.0,0.408
tokensdigTruetashFalsemod1size100wind7.txt,0.15,0.31,0.0,0.408
lemmasdigFalsetashTruemod0size200wind7.txt,0.199,0.341,0.0,0.408
tokensdigTruetashFalsemod1size200wind4.txt,0.174,0.324,0.0,0.41
tokensdigTruetashFalsemod1size200wind7.txt,0.173,0.324,0.0,0.412
lemmasdigTruetashFalsemod1size100wind7.txt,0.156,0.317,0.0,0.412
lemmasdigFalsetashTruemod1size200wind7.txt,0.18,0.33,0.0,0.413
tokensdigFalsetashTruemod1size200wind4.txt,0.168,0.321,0.0,0.414
lemmasdigTruetashTruemod1size100wind7.txt,0.153,0.314,0.0,0.415
tokensdigFalsetashTruemod0size100wind4.txt,0.148,0.309,0.0,0.416
controldigTruetashFalsemod0size100wind7.txt,0.187,0.333,0.0,0.416
tokensdigTruetashTruemod0size100wind4.txt,0.15,0.309,0.0,0.419
lemmasdigFalsetashFalsemod1size200wind7.txt,0.185,0.336,0.0,0.42
lemmasdigTruetashTruemod0size200wind7.txt,0.194,0.338,0.0,0.42
tokensdigTruetashFalsemod0size100wind7.txt,0.16,0.314,0.0,0.42
tokensdigFalsetashTruemod1size100wind4.txt,0.146,0.308,0.0,0.421
tokensdigTruetashTruemod0size100wind7.txt,0.158,0.313,0.0,0.422
lemmasdigFalsetashTruemod1size100wind7.txt,0.153,0.31,0.0,0.423
controldigTruetashTruemod0size100wind7.txt,0.185,0.33,0.0,0.424
controldigFalsetashTruemod1size100wind7.txt,0.171,0.325,0.0,0.425
controldigTruetashTruemod0size200wind7.txt,0.213,0.351,0.0,0.425
lemmasdigFalsetashTruemod1size200wind4.txt,0.179,0.328,0.0,0.425
controldigFalsetashFalsemod0size100wind7.txt,0.186,0.332,0.0,0.427
tokensdigTruetashFalsemod0size100wind4.txt,0.146,0.307,0.0,0.428
controldigTruetashFalsemod0size200wind7.txt,0.213,0.351,0.0,0.43
controldigFalsetashFalsemod1size100wind7.txt,0.169,0.321,0.0,0.432
controldigFalsetashFalsemod0size200wind7.txt,0.215,0.353,0.0,0.433
lemmasdigTruetashTruemod1size200wind4.txt,0.18,0.328,0.0,0.433
controldigFalsetashTruemod0size200wind7.txt,0.213,0.352,0.0,0.436
lemmasdigTruetashFalsemod1size200wind4.txt,0.185,0.333,0.0,0.437
tokensdigTruetashTruemod1size100wind4.txt,0.145,0.304,0.0,0.437
controldigTruetashFalsemod0size200wind4.txt,0.204,0.346,0.0,0.439
controldigFalsetashTruemod0size200wind4.txt,0.205,0.346,0.0,0.441
lemmasdigTruetashTruemod0size200wind4.txt,0.18,0.329,0.0,0.441
lemmasdigFalsetashTruemod1size100wind4.txt,0.15,0.309,0.0,0.441
lemmasdigTruetashTruemod0size100wind4.txt,0.151,0.308,0.0,0.441
lemmasdigTruetashTruemod1size100wind4.txt,0.151,0.308,0.0,0.442
lemmasdigFalsetashFalsemod1size100wind4.txt,0.154,0.312,0.0,0.443
controldigTruetashFalsemod1size100wind7.txt,0.169,0.321,0.0,0.443
lemmasdigFalsetashFalsemod0size100wind7.txt,0.168,0.32,0.0,0.443
controldigTruetashTruemod0size100wind4.txt,0.174,0.322,0.0,0.445
lemmasdigFalsetashTruemod0size100wind7.txt,0.164,0.316,0.0,0.446
tokensdigFalsetashFalsemod1size100wind4.txt,0.145,0.306,0.0,0.447
controldigFalsetashFalsemod0size200wind4.txt,0.205,0.346,0.0,0.447
controldigTruetashFalsemod0size100wind4.txt,0.176,0.324,0.0,0.447
controldigFalsetashTruemod0size100wind7.txt,0.184,0.329,0.0,0.448
