method,bs,bp,ns,np
results_0,-0.023216087202511324,-0.012608287962194547,-0.023216087202511324,-0.012608287962194542
results_1,0.14723187629187531,0.12035889046018364,0.14350602416521441,-0.043615934040657493
results_2_controldigFalsetashFalsemod1size200wind4,0.14723187629187531,0.12035889046018364,0.14350602416521441,-0.043615934040657493
results_2_tokensdigFalsetashTruemod0size200wind4,0.14723187629187531,0.12035889046018364,0.14350602416521441,-0.043615934040657493
results_2_lemmasdigTruetashTruemod1size200wind4,0.14723187629187531,0.12035889046018364,0.14350602416521441,-0.043615934040657493
results_3_controldigFalsetashFalsemod1size200wind4,0.14723187629187531,0.12035889046018364,0.14350602416521441,-0.043615934040657493
results_3_tokensdigFalsetashTruemod0size200wind4,0.14723187629187531,0.12035889046018364,0.14350602416521441,-0.043615934040657493
results_3_lemmasdigTruetashTruemod1size200wind4,0.14723187629187531,0.12035889046018364,0.14350602416521441,-0.043615934040657493
results_4,0.0020597394649477783,0.048141037457794043,-0.034259529003400381,-0.011959842887432912
results_5_controldigFalsetashFalsemod1size200wind4,0.025823451910408433,0.068644529081176645,0.17891963109354411,0.13963522004876464
results_5_tokensdigFalsetashTruemod0size200wind4,0.017127799736495388,0.073473182341555629,0.094466403162055346,0.1103736591506491
results_5_lemmasdigTruetashTruemod1size200wind4,0.01185770750988142,0.061888036249020915,0.063899868247694336,0.1273274010113464
