Embedding File,MSE,Accuracy,Hit_Percent,Correlation,Correlation Sig,Spearman,Spearman Sig,wind,size,mod,dig,tash,preprocessing
tokensdigFalsetashTruemod0size200wind4.txt,0.1846,0.3905,1.0,0.5201,1.40209614596e-25,0.566219479382,5.61257192242e-31,4,200,0,False,True,tokens
tokensdigFalsetashTruemod1size100wind4.txt,0.1277,0.3126,1.0,0.5285,1.69712904177e-26,0.555723581037,1.12714577221e-29,4,100,1,False,True,tokens
tokensdigTruetashFalsemod0size200wind4.txt,0.1827,0.3856,1.0,0.5046,6.09364626221e-24,0.54861645241,8.09644582172e-29,4,200,0,True,False,tokens
tokensdigFalsetashFalsemod0size100wind4.txt,0.1325,0.3173,1.0,0.5219,8.88300614184e-26,0.541817740221,5.11135819283e-28,4,100,0,False,False,tokens
controldigTruetashFalsemod1size200wind4.txt,0.1905,0.3976,0.0,0.4957,7.49621829152e-23,0.531702770112,1.21415607461e-26,4,200,1,True,False,control
tokensdigTruetashFalsemod1size100wind4.txt,0.1272,0.3094,1.0,0.5294,1.32727083968e-26,0.531493058873,7.75440636642e-27,4,100,1,True,False,tokens
tokensdigTruetashTruemod1size100wind4.txt,0.1268,0.31,1.0,0.5251,4.03769704867e-26,0.53100693246,8.7934653307e-27,4,100,1,True,True,tokens
tokensdigTruetashFalsemod0size100wind7.txt,0.1485,0.3401,1.0,0.5037,7.52406542992e-24,0.529469084823,1.30719961853e-26,7,100,0,True,False,tokens
controldigFalsetashFalsemod1size200wind4.txt,0.191,0.3981,0.0,0.4964,6.36808296739e-23,0.524825766355,6.9608529218e-26,4,200,1,False,False,control
tokensdigFalsetashTruemod1size200wind4.txt,0.1689,0.3692,1.0,0.4952,5.38241023531e-23,0.524793435168,4.30994708267e-26,4,200,1,False,True,tokens
tokensdigFalsetashTruemod0size100wind7.txt,0.1543,0.3476,1.0,0.4984,2.58486561767e-23,0.524338079824,4.83619436932e-26,7,100,0,False,True,tokens
tokensdigTruetashTruemod1size200wind4.txt,0.1747,0.3753,1.0,0.4922,1.07102413443e-22,0.524014277852,5.24850133129e-26,4,200,1,True,True,tokens
tokensdigFalsetashTruemod0size100wind4.txt,0.1351,0.3209,1.0,0.4999,1.81881008424e-23,0.522230826278,8.22348389515e-26,4,100,0,False,True,tokens
tokensdigTruetashFalsemod1size200wind4.txt,0.1691,0.3681,1.0,0.5023,1.05040970561e-23,0.522115505349,8.46499249745e-26,4,200,1,True,False,tokens
controldigTruetashTruemod1size200wind7.txt,0.1959,0.4022,0.0,0.5015,1.4560965606e-23,0.521773952856,1.08256690768e-25,7,200,1,True,True,control
tokensdigFalsetashFalsemod0size100wind7.txt,0.1539,0.3457,1.0,0.5048,5.78651568793e-24,0.521078605051,1.09758981988e-25,7,100,0,False,False,tokens
tokensdigFalsetashFalsemod0size200wind4.txt,0.1863,0.3888,1.0,0.4847,5.86608012732e-22,0.51539710847,4.48493779608e-25,4,200,0,False,False,tokens
tokensdigTruetashFalsemod0size100wind4.txt,0.1359,0.3219,1.0,0.4819,1.07882490329e-21,0.514742446942,5.26576775558e-25,4,100,0,True,False,tokens
tokensdigFalsetashFalsemod1size100wind4.txt,0.1304,0.3117,1.0,0.5074,3.13603782843e-24,0.512944456745,8.16826336388e-25,4,100,1,False,False,tokens
tokensdigTruetashFalsemod0size200wind7.txt,0.2017,0.4085,1.0,0.4769,3.18974452484e-21,0.509338878034,1.95474998037e-24,7,200,0,True,False,tokens
